Region,Country,City,Month,Day,Year,AvgTemp (C)
Asia,India,Delhi,2,19,1996,18.89
Asia,India,Delhi,2,20,1996,18.83
Asia,India,Delhi,2,21,1996,19.33
Asia,India,Delhi,2,22,1996,20.11
Asia,India,Delhi,2,23,1996,19.94
Asia,India,Delhi,2,24,1996,20.44
Asia,India,Delhi,2,25,1996,18.44
Asia,India,Delhi,2,26,1996,17.28
Asia,India,Delhi,2,27,1996,16.78
Asia,India,Delhi,2,28,1996,19.17
Asia,India,Delhi,2,29,1996,19.72
Asia,India,Delhi,3,1,1996,20.44
Asia,India,Delhi,3,2,1996,18.44
Asia,India,Delhi,3,3,1996,20.94
Asia,India,Delhi,3,4,1996,20.83
Asia,India,Delhi,3,5,1996,21.89
Asia,India,Delhi,3,6,1996,21.44
Asia,India,Delhi,3,7,1996,22.72
Asia,India,Delhi,3,8,1996,23.17
Asia,India,Delhi,3,9,1996,22.78
Asia,India,Delhi,3,10,1996,23.83
Asia,India,Delhi,3,11,1996,25.28
Asia,India,Delhi,3,12,1996,26.33
Asia,India,Delhi,3,13,1996,25.44
Asia,India,Delhi,3,14,1996,25.22
Asia,India,Delhi,3,15,1996,24.94
Asia,India,Delhi,3,16,1996,24.44
Asia,India,Delhi,3,17,1996,21.5
Asia,India,Delhi,3,18,1996,22.89
Asia,India,Delhi,3,19,1996,23
Asia,India,Delhi,3,20,1996,21.67
Asia,India,Delhi,3,21,1996,21.78
Asia,India,Delhi,3,22,1996,21.11
Asia,India,Delhi,3,23,1996,22
Asia,India,Delhi,3,24,1996,24.89
Asia,India,Delhi,3,25,1996,25
Asia,India,Delhi,3,26,1996,25.83
Asia,India,Delhi,3,27,1996,26.17
Asia,India,Delhi,3,28,1996,29.33
Asia,India,Delhi,3,29,1996,28.56
Asia,India,Delhi,3,30,1996,25.61
Asia,India,Delhi,3,31,1996,23.22
Asia,India,Delhi,4,1,1996,23.56
Asia,India,Delhi,4,2,1996,23.61
Asia,India,Delhi,4,3,1996,26.33
Asia,India,Delhi,4,4,1996,25.56
Asia,India,Delhi,4,5,1996,27.11
Asia,India,Delhi,4,6,1996,29.22
Asia,India,Delhi,4,7,1996,28.5
Asia,India,Delhi,4,8,1996,25.17
Asia,India,Delhi,4,9,1996,25.67
Asia,India,Delhi,4,10,1996,25.28
Asia,India,Delhi,4,11,1996,26.72
Asia,India,Delhi,4,12,1996,28
Asia,India,Delhi,4,13,1996,29.89
Asia,India,Delhi,4,14,1996,29.28
Asia,India,Delhi,4,15,1996,28.78
Asia,India,Delhi,4,16,1996,30.83
Asia,India,Delhi,4,17,1996,31.56
Asia,India,Delhi,4,18,1996,30.89
Asia,India,Delhi,4,19,1996,29.61
Asia,India,Delhi,4,20,1996,29.78
Asia,India,Delhi,4,21,1996,27.89
Asia,India,Delhi,4,22,1996,29.06
Asia,India,Delhi,4,23,1996,28.61
Asia,India,Delhi,4,24,1996,28.11
Asia,India,Delhi,4,25,1996,31
Asia,India,Delhi,4,26,1996,30.39
Asia,India,Delhi,4,27,1996,32.06
Asia,India,Delhi,4,28,1996,32.67
Asia,India,Delhi,4,29,1996,33.11
Asia,India,Delhi,4,30,1996,34.28
Asia,India,Delhi,5,1,1996,29.94
Asia,India,Delhi,5,2,1996,32.22
Asia,India,Delhi,5,3,1996,34.17
Asia,India,Delhi,5,4,1996,33.17
Asia,India,Delhi,5,5,1996,31.94
Asia,India,Delhi,5,6,1996,32.89
Asia,India,Delhi,5,7,1996,32.83
Asia,India,Delhi,5,8,1996,33.89
Asia,India,Delhi,5,9,1996,35.39
Asia,India,Delhi,5,10,1996,35.94
Asia,India,Delhi,5,11,1996,29.28
Asia,India,Delhi,5,12,1996,30.39
Asia,India,Delhi,5,13,1996,31.94
Asia,India,Delhi,5,14,1996,29.94
Asia,India,Delhi,5,15,1996,30.22
Asia,India,Delhi,5,16,1996,29.56
Asia,India,Delhi,5,17,1996,29.94
Asia,India,Delhi,5,18,1996,29.94
Asia,India,Delhi,5,19,1996,29.33
Asia,India,Delhi,5,20,1996,29.61
Asia,India,Delhi,5,21,1996,32.33
Asia,India,Delhi,5,22,1996,30.33
Asia,India,Delhi,5,23,1996,30.5
Asia,India,Delhi,5,24,1996,33.94
Asia,India,Delhi,5,25,1996,33.28
Asia,India,Delhi,5,26,1996,33.11
Asia,India,Delhi,5,27,1996,34.11
Asia,India,Delhi,5,28,1996,36.44
Asia,India,Delhi,5,29,1996,36.44
Asia,India,Delhi,5,30,1996,33.78
Asia,India,Delhi,5,31,1996,35.89
Asia,India,Delhi,6,1,1996,36.56
Asia,India,Delhi,6,2,1996,34.67
Asia,India,Delhi,6,3,1996,35.28
Asia,India,Delhi,6,4,1996,33.06
Asia,India,Delhi,6,5,1996,31.72
Asia,India,Delhi,6,6,1996,32.17
Asia,India,Delhi,6,7,1996,33.11
Asia,India,Delhi,6,8,1996,35.22
Asia,India,Delhi,6,9,1996,27.5
Asia,India,Delhi,6,10,1996,29.28
Asia,India,Delhi,6,11,1996,34.39
Asia,India,Delhi,6,12,1996,34.22
Asia,India,Delhi,6,13,1996,32.22
Asia,India,Delhi,6,14,1996,32.44
Asia,India,Delhi,6,15,1996,33.22
Asia,India,Delhi,6,16,1996,29
Asia,India,Delhi,6,17,1996,32.83
Asia,India,Delhi,6,18,1996,33.72
Asia,India,Delhi,6,19,1996,28.5
Asia,India,Delhi,6,20,1996,29.33
Asia,India,Delhi,6,21,1996,32.11
Asia,India,Delhi,6,22,1996,30.33
Asia,India,Delhi,6,23,1996,26.22
Asia,India,Delhi,6,24,1996,26.39
Asia,India,Delhi,6,25,1996,28.67
Asia,India,Delhi,6,26,1996,28.78
Asia,India,Delhi,6,27,1996,32.28
Asia,India,Delhi,6,28,1996,33.22
Asia,India,Delhi,6,29,1996,32.56
Asia,India,Delhi,6,30,1996,29.56
Asia,India,Delhi,7,1,1996,28.56
Asia,India,Delhi,7,2,1996,28.83
Asia,India,Delhi,7,3,1996,31.44
Asia,India,Delhi,7,4,1996,30.56
Asia,India,Delhi,7,5,1996,29.33
Asia,India,Delhi,7,6,1996,30.5
Asia,India,Delhi,7,7,1996,32.22
Asia,India,Delhi,7,8,1996,31.61
Asia,India,Delhi,7,9,1996,32.72
Asia,India,Delhi,7,10,1996,31.78
Asia,India,Delhi,7,11,1996,31.72
Asia,India,Delhi,7,12,1996,31.44
Asia,India,Delhi,7,13,1996,32.89
Asia,India,Delhi,7,14,1996,32.44
Asia,India,Delhi,7,15,1996,29.28
Asia,India,Delhi,7,16,1996,30.56
Asia,India,Delhi,7,17,1996,31.5
Asia,India,Delhi,7,18,1996,30.67
